,rowid,kepler_id,koi_name,plnt_disposition,plnt_disp_confidence,flag_nTransitLk,flag_scndEvent,flag_centroidOffset,flag_ephMatch,orbital_period,transit_epoch,impact_parameter,transit_duration,transit_depth,planetary_radius,equ_temp,insolation_flux,transit_sigToNoise,stellar_eff_temp,stellar_surf_gravity,stellar_radius,right_acension,declination,kepler_magnitude
0,1,10797460,K00752.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3187577563669785,0.22314308046367426,0.60975053176697,0.3823688039044428,0.30609500323208005,0.08221385385964079,0.41240181724853936,0.04753021427230586,0.30645467120602105,0.2999003536555985,0.34795189851175223,0.12248667984207347,0.032215528702029254,1.2003678505033633,0.7528725551794053
1,2,10797460,K00752.02,CONFIRMED,1.0171109692049713,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.19960458163556888,0.08415949798069429,0.04236021604770717,0.13678919835616515,0.30304967440554376,0.08038747049923486,0.8259678096843349,0.0480302138525666,0.3182871110601471,0.2999003536555985,0.34795189851175223,0.12248667984207347,0.032215528702029254,1.2003678505033633,0.7528725551794053
2,3,10811496,K00753.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,0.528209327653692,0.39541432887157024,0.19864463122261553,0.3151330936009574,0.45152726331701504,0.56864160829353,0.18600792843987612,0.042674256197519266,0.5955524710415345,0.04785153265786878,0.2585332897968105,0.20496944759317898,0.5293790165737929,0.13167335807920802,1.0272267230755658,1.1982804823158748,0.8179821264187677
3,4,10848459,K00754.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,0.528209327653692,0.39541432887157024,0.4081821615458439,0.21913918266091595,0.8474109608756825,0.4697108270226101,0.21834014931713325,0.017756603762578958,0.298931689741029,0.04280501700795018,0.24943335314082124,0.14408062734207014,0.5765029433431552,0.14366275171072257,1.3693435203797208,1.240205724689429,0.9357646092225571
4,5,10854555,K00755.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3990836134610366,0.2414458215496197,0.10593498010619108,0.5888807277698224,0.3062419785615461,0.0806438050059585,0.31192947807472543,0.04260260240514576,0.30042012688041675,0.43076548935770753,0.2796222046961786,0.10395761695700552,0.6965046396711884,1.223830346233743,0.8713866061993683
5,6,10872983,K00756.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.30022601366447005,0.23461537297194635,0.10425734139889954,0.1229213600305928,0.2954927908657179,0.07695899647180617,0.3627738981562439,0.04740462252167692,0.27012908085385406,0.44979324568617907,0.3927196289426499,0.11547989135612342,0.8770646015216593,1.223405768551365,1.0213580905147528
6,7,10872983,K00756.02,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3805223547566614,0.2654122287880305,0.18459591023999805,0.35341275748064777,0.3052695897817988,0.08057972137927759,0.021251666248423416,0.045553061576023866,0.3012483976702056,0.44979324568617907,0.3927196289426499,0.11547989135612342,0.8770646015216593,1.223405768551365,1.0213580905147528
7,8,10872983,K00756.03,CONFIRMED,1.0653280721883893,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3986106280030447,0.37928478995389964,0.1755692461262825,0.4661305473908995,0.3106724028929704,0.08436065535345127,0.2575750904974494,0.04330347776374516,0.33106614610260326,0.44979324568617907,0.3927196289426499,0.11547989135612342,0.8770646015216593,1.223405768551365,1.0213580905147528
8,9,6721123,K00114.01,FALSE POSITIVE,1.0142965434442481,0.36743815253174383,1.6575371368726477,1.8929520056396643,0.39541432887157024,0.34328830004063343,0.43997139465149576,0.7094319522803163,0.05516706421136805,0.3105877451031979,0.03618064643334061,0.2363059823150371,0.04354329763817893,0.29237406777961106,0.6793948387164019,0.7853785402913843,0.03804662969158245,1.4157544191519604,0.46189040624280603,1.2128512416763892
9,10,10910878,K00757.01,CONFIRMED,1.082099238443491,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.24283711008981548,0.2765408599683606,0.7309657355797217,0.29088861782992464,0.2555531269352986,0.07099921919048154,0.6404539216488495,0.04790213630856988,0.15724760464549145,0.8377515992070598,0.39036343260417894,0.1347874862951858,1.0632755536615537,1.2653418334932938,1.114267253968673
10,11,11446443,K00001.01,CONFIRMED,0.6858804356667083,0.36743815253174383,0.6032292634276331,0.528209327653692,0.39541432887157024,0.3997179003914532,0.6042808409034895,0.2568092231497224,0.5748242868430223,0.14600712277239897,0.047672779078630254,0.23276113095130171,0.043577388518651256,4.744222280527687,0.16310838367054165,0.3243899351270721,0.11672554264251453,1.103184926044658,1.5263624800586912,2.179984423456576
11,12,10666592,K00002.01,CONFIRMED,1.082099238443491,0.36743815253174383,1.6575371368726477,0.528209327653692,0.39541432887157024,0.4027853398788487,0.6286099655883285,0.5091677030712826,0.23479281557903245,0.23485429733593738,0.037867984196451,1.070527669914099,0.023528518038655407,6.686635606981021,0.9495889785806974,0.7076240611219384,0.037112391226789075,0.033192717067980056,1.1526014737269314,2.8201066126076073
